Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors,Source
us,yoga retreats united states,,,,,,140,18,0.75,0.59,122,Commercial,"Local Pack, Image, Related Searches","0.15,0.07,0.07,0.05,0.12,0.12,0.12,1.00,0.05,0.04,0.07,0.00",90.0,,,boookretreatyogaretreatkeywoord
us,puerto rico yoga retreat center,,,,,,140,18,1.07,0.35,1090000,Commercial,"Local Pack, Site Links, Video, Image, Related Searches, Discussions And Forums","0.21,0.34,1.00,0.34,0.43,0.53,0.28,0.28,0.28,0.28,0.43,0.53",20.0,,,boookretreatyogaretreatkeywoord
us,expanding light yoga retreat,,,,,,140,14,0.74,0.01,4040000,Informational,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, Knowledge Panel","0.33,0.42,1.00,0.80,0.66,0.33,0.66,0.80,0.80,0.80,1.00,0.66",70.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat canary islands,,,,,,140,22,0.51,0.05,0,Commercial,"Local Pack, Site Links, Video, Image, Related Searches","0.23,0.28,0.17,0.23,0.23,0.17,0.17,0.53,1.00,0.12,0.05,0.05",20.0,,,boookretreatyogaretreatkeywoord
us,nosara yoga retreat,,,,,,140,19,0.98,0.68,148,Commercial,"Video, Image, Hotels Pack, Related Searches, Site Links","0.10,0.08,0.08,0.06,0.06,0.06,0.04,0.08,0.06,0.08,0.10,0.06",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat 2025,,,,,,210,25,1.24,0.54,31100000,Commercial,"Video, People Also Ask, Related Searches","0.43,0.35,0.82,0.66,0.66,0.66,0.43,0.28,0.12,0.10,0.05,0.05",90.0,,,boookretreatyogaretreatkeywoord
us,colorado yoga retreat,,,,,,140,23,0.61,0.31,0,Informational,"AI Overview, Knowledge Panel, Video, Image, Related Searches, Discussions And Forums","1.00,0.52,1.00,1.00,0.80,0.33,0.66,0.42,0.33,0.42,0.42,0.33",70.0,,,boookretreatyogaretreatkeywoord
us,sewall yoga retreat,,,,,,140,48,1.02,0.18,29300,"Navigational, Transactional","Related Searches, Knowledge Panel, Site Links, Video, Image, Video Carousel, People Also Ask","0.21,0.28,0.65,1.00,0.43,0.43,0.65,0.43,0.53,0.53,0.65,0.53",20.0,,,boookretreatyogaretreatkeywoord
us,best yoga retreat,,,,,,140,30,1.28,0.45,35400000,Commercial,"Discussions And Forums, AI Overview, Local Pack, Site Links, Video, People Also Ask, Related Searches","0.06,0.20,0.05,0.05,0.06,0.16,0.10,0.05,0.08,0.06,0.16,0.06",20.0,,,boookretreatyogaretreatkeywoord
us,best yoga retreats in the united states,,,,,,140,26,0.94,0.66,105,Commercial,"Discussions And Forums, AI Overview, Site Links, Video, Related Searches","0.66,0.66,0.66,0.66,0.66,0.66,0.42,0.80,0.66,0.66,1.00,0.66",20.0,,,boookretreatyogaretreatkeywoord
us,nicaragua yoga retreat,,,,,,140,6,0.89,0.72,0,Transactional,"Hotels Pack, Related Searches, Discussions And Forums, Site Links, Video, Image","0.35,0.35,0.14,0.14,0.29,0.35,0.29,0.18,0.29,0.29,0.43,0.35",20.0,,,boookretreatyogaretreatkeywoord
us,san diego yoga retreat center,,,,,,110,13,0.76,0.41,2220000,Commercial,"Local Pack, Site Links, Image, Related Searches","0.53,0.34,0.34,0.42,0.53,0.26,0.34,0.19,0.19,0.42,0.53,0.80",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat tulum,,,,,,110,10,1.12,0.69,1370000,Commercial,"Discussions And Forums, Local Pack, Site Links, Video, Related Searches","0.15,0.15,0.06,0.06,0.29,0.09,0.15,0.06,0.12,0.09,0.12,0.36",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats for beginners,,,,,,110,11,0.86,0.3,152,Informational,"Video Carousel, Related Searches, AI Overview, Video","0.43,0.43,0.15,0.15,0.34,0.34,0.21,0.43,1.00,0.21,0.43,0.43",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats in upstate ny,,,,,,110,24,0.67,0.31,119,Commercial,"Related Searches, Local Pack, Site Links","0.19,0.42,0.80,0.80,0.66,0.33,0.52,0.23,0.33,0.52,0.66,0.33",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat caribbean,,,,,,110,17,1.04,0.63,5190000,Commercial,"Image, Related Searches, Discussions And Forums, AI Overview, Local Pack, Video","0.21,0.34,0.34,0.15,0.34,0.21,0.21,0.34,0.21,0.21,0.28,0.21",90.0,,,boookretreatyogaretreatkeywoord
us,sayulita mexico yoga retreat,,,,,,110,13,1.08,0.37,118000,Commercial,"Site Links, Video, Image, Hotels Pack, Related Searches","0.33,0.42,0.33,0.33,0.42,0.42,0.33,0.52,0.52,0.52,0.52,0.52",20.0,,,boookretreatyogaretreatkeywoord
us,the expanding light meditation and yoga retreat,,,,,,110,13,0.0,0.02,2530000,Informational,"Video, Image, Related Searches, Discussions And Forums, Knowledge Panel","0.14,0.42,0.66,0.66,0.42,0.33,0.66,0.66,1.00,0.66,0.80,0.52",70.0,,,boookretreatyogaretreatkeywoord
us,inexpensive yoga retreats,,,,,,110,10,0.91,0.48,201,Informational,"Video, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.17,0.12,0.23,0.35,0.23,0.28,0.35,0.35,0.23,0.35,1.00,0.28",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat ohio,,,,,,110,1,0.69,0.2,0,Commercial,"Related Searches, Local Pack, Site Links, Video","0.34,0.42,0.34,0.34,0.53,0.65,0.53,0.42,0.34,0.42,0.34,0.26",20.0,,,boookretreatyogaretreatkeywoord
us,partner yoga retreat,,,,,,110,4,0.76,0.28,13300000,"Informational, Commercial","AI Overview, Site Links, Video, Image, Video Carousel, Related Searches","0.12,0.34,0.21,1.00,0.43,0.21,0.34,0.43,0.53,0.43,0.34,0.34",20.0,,,boookretreatyogaretreatkeywoord
us,gay yoga retreat,,,,,,110,0,0.52,0.22,4540000,Commercial,"Related Searches, Discussions And Forums, Site Links, Video","0.33,0.33,0.42,0.23,0.66,0.52,0.52,0.52,0.80,0.80,0.66,0.66",,,,boookretreatyogaretreatkeywoord
us,yoga retreat bay area,,,,,,110,23,0.85,0.42,14800000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.66,0.52,0.80,0.42,0.42,0.52,0.52,0.33,0.33,0.33,0.33,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,big sky yoga retreats montana,,,,,,110,13,0.0,0.01,107000,Navigational,"Image, Related Searches, Knowledge Panel, Site Links, Video","0.53,0.34,1.00,0.80,0.42,0.42,0.34,0.42,0.34,0.26,0.26,0.26",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat center italy,,,,,,110,14,0.7,0.26,4140000,Commercial,"Knowledge Panel, Site Links, Image, Related Searches","0.80,0.80,0.80,0.66,0.66,0.42,0.52,0.33,0.42,0.33,0.33,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats in mexico,,,,,,110,28,1.21,0.79,0,Informational,"Knowledge Panel, Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.05,0.15,0.06,0.04,0.15,0.23,0.09,0.19,0.12,0.19,0.09,0.36",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats in colorado,,,,,,110,18,0.61,0.31,1410000,Commercial,"Local Pack, Video, Related Searches, Discussions And Forums","0.33,0.33,0.33,0.33,1.00,0.80,0.42,1.00,0.23,0.52,0.23,0.33",90.0,,,boookretreatyogaretreatkeywoord
us,tantra yoga retreat,,,,,,110,7,0.67,0.07,1590000,Commercial,"Local Pack, Video, People Also Ask, Related Searches, Discussions And Forums","0.11,0.11,0.64,0.64,0.52,1.00,0.64,0.82,1.00,1.00,1.00,0.64",90.0,,,boookretreatyogaretreatkeywoord
us,sivananda ashram yoga retreat reviews,,,,,,110,26,0.81,0.04,83600,Commercial,"AI Overview, Local Pack, Site Links, Video, People Also Ask, Related Searches, Discussions And Forums","0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.11,0.08,0.07,0.08,0.03",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat peru,,,,,,110,9,1.08,0.37,2370000,Commercial,"Local Pack, Site Links, Video, People Also Ask, Related Searches, Short Videos","0.29,0.29,0.22,0.22,0.22,0.18,0.14,0.22,0.18,0.22,0.29,0.22",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat in bali ubud,,,,,,110,27,1.1,0.31,1610000,Transactional,"Related Searches, Discussions And Forums, Site Links, Video, Hotels Pack","0.00,0.00,0.00,0.01,0.05,0.00,0.03,1.00,0.05,0.00,0.06,0.05",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat minneapolis,,,,,,110,52,0.31,0.13,0,Navigational,"Knowledge Panel, Site Links, Video, Related Searches","0.15,0.65,0.53,0.53,0.53,0.26,0.53,0.34,0.80,0.42,0.42,0.26",20.0,,,boookretreatyogaretreatkeywoord
us,cheap yoga retreats,,,,,,110,17,0.91,0.48,24700000,Informational,"Local Pack, Site Links, Video, Related Searches, Discussions And Forums","0.23,0.18,0.28,0.28,0.05,0.11,0.18,0.15,0.08,0.11,1.00,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,beginner yoga retreat,,,,,,110,9,0.86,0.3,4780000,Commercial,"Related Searches, Discussions And Forums, Site Links, Video","0.28,0.28,0.43,0.21,0.65,0.34,0.28,0.21,1.00,0.28,0.21,0.28",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat vietnam,,,,,,110,13,0.58,0.32,112,Commercial,"Image, Related Searches, Discussions And Forums, Knowledge Panel, Video","0.42,0.33,0.33,0.23,0.66,0.80,0.66,0.52,0.42,0.33,0.42,0.33",70.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat maryland,,,,,,110,8,0.48,0.28,1200000,Commercial,"Video, Image, People Also Ask, Related Searches, Local Pack, Image Pack","0.66,0.52,0.42,0.42,0.52,0.42,0.52,0.52,0.52,0.52,0.42,0.23",90.0,,,boookretreatyogaretreatkeywoord
us,puerto rico yoga retreat,,,,,,110,14,1.07,0.35,1860000,Commercial,"Local Pack, Site Links, Video, Image, Related Searches","0.29,0.22,0.22,0.22,0.14,0.22,0.22,0.22,0.22,0.29,0.35,1.00",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat in sedona,,,,,,110,19,0.84,0.59,538000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.09,0.02,0.02,0.06,1.00,0.05,0.06,0.04,0.02,0.06,0.09,0.12",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats in tulum,,,,,,110,28,1.12,0.69,126,Commercial,"Related Searches, Local Pack, Video","0.34,0.28,0.34,0.15,0.34,0.21,0.34,0.15,0.21,0.28,0.28,0.09",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat new jersey,,,,,,110,13,0.53,0.36,0,Commercial,"Local Pack, Video, Related Searches","0.35,0.28,0.28,0.28,0.35,0.17,0.28,0.28,0.28,0.28,0.35,0.23",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats spain,,,,,,110,15,0.56,0.2,2590000,Commercial,"Video, Image, Adwords Top, Adwords Bottom, Related Searches, Local Pack, Site Links","1.00,1.00,1.00,1.00,0.64,0.82,0.29,0.17,0.11,0.29,0.52,0.41",20.0,,,boookretreatyogaretreatkeywoord
us,palm springs yoga retreat,,,,,,110,14,0.7,0.48,0,Commercial,"Local Pack, Video, Related Searches","0.06,0.06,0.05,0.05,0.08,0.05,0.08,0.06,0.05,0.04,0.04,0.04",90.0,,,boookretreatyogaretreatkeywoord
us,three week yoga retreat,,,,,,110,10,1.6,0.76,106,Informational,"Site Links, Video, Video Carousel, Related Searches, Discussions And Forums","0.64,0.52,0.82,0.64,1.00,0.64,0.41,0.52,0.41,0.41,0.52,0.41",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat puerto vallarta,,,,,,110,15,1.5,0.56,342000,"Informational, Transactional","Video, Image, People Also Ask, Related Searches, Knowledge Panel, Site Links","0.35,0.17,0.17,0.17,0.23,0.28,0.28,0.17,0.28,0.35,0.43,0.35",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats in greece,,,,,,110,13,0.67,0.16,1960000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.42,0.33,0.52,0.52,1.00,0.80,0.42,0.33,0.66,0.66,0.66,0.33",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats 2026,,,,,,110,25,1.23,0.59,16100000,Commercial,"Video, Video Carousel, Related Searches, Discussions And Forums, Adwords Middle, AI Overview","0.04,0.02,0.02,0.02,0.15,0.15,0.15,0.19,0.36,0.54,1.00,0.66",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat utah,,,,,,110,9,0.56,0.25,0,Commercial,"Local Pack, Video, Related Searches","0.80,0.66,0.52,0.42,0.80,0.42,0.66,0.33,0.42,0.42,0.42,0.42",90.0,,,boookretreatyogaretreatkeywoord
us,costa rica yoga retreat 2025,,,,,,110,15,1.28,0.9,2140000,Commercial,"Hotels Pack, People Also Ask, Related Searches, Video, Image","0.66,0.07,0.10,0.05,0.17,0.17,0.17,0.07,0.02,0.02,0.00,0.00",90.0,,,boookretreatyogaretreatkeywoord
us,florida yoga retreat,,,,,,110,7,0.59,0.27,129,Commercial,"Local Pack, Site Links, Video, Related Searches","1.00,0.34,0.28,0.21,0.43,0.21,0.65,0.28,0.21,0.43,0.34,0.65",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat san diego california,,,,,,110,12,0.76,0.41,2120000,Commercial,"Site Links, Video, Related Searches, AI Overview, Knowledge Panel","0.19,0.42,0.66,0.52,0.66,0.33,0.42,0.52,0.52,0.66,0.66,1.00",20.0,,,boookretreatyogaretreatkeywoord
us,top yoga retreats usa,,,,,,110,42,0.94,0.66,5430000,Commercial,"Local Pack, Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.80,0.80,0.80,0.33,0.33,0.42,0.33,0.66,0.42,0.33,0.52,0.33",20.0,,,boookretreatyogaretreatkeywoord
us,surf and yoga retreat nicaragua,,,,,,110,12,1.02,0.46,321000,Transactional,"Related Searches, Site Links, Video, Image, Hotels Pack","0.52,0.42,0.33,0.33,0.52,0.33,0.52,0.80,0.42,0.52,0.33,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat mexico,yoga retreat,,,,,590,25,1.21,0.79,8870000,Informational,"Site Links, Video, Related Searches, Discussions And Forums, AI Overview, Knowledge Panel","0.37,0.37,0.20,0.20,0.20,0.31,0.31,0.31,0.37,0.31,0.37,0.08",20.0,,,yogaretreatinformational
us,beyond yoga retreat,yoga retreat,,,,,260,22,1.24,0.15,0,"Informational, Transactional","Knowledge Panel, Image Pack, Site Links, Video, Related Searches","0.36,0.29,0.23,0.23,0.23,0.23,0.29,0.23,0.36,0.36,0.36,0.36",20.0,,,yogaretreatinformational
us,couples retreat yoga scene,yoga retreat,,,,,260,22,0.0,0.0,2950000,"Informational, Transactional","Image Pack, Video, Image, Video Carousel, Related Searches, Short Videos","0.36,0.36,0.36,0.36,0.36,0.36,0.23,0.29,0.29,0.36,0.29,0.36",90.0,,,yogaretreatinformational
us,deadly yoga retreat,yoga retreat,,,,,260,26,0.0,0.0,823000,"Informational, Transactional","Video, Image, Video Carousel, People Also Ask, Related Searches, Knowledge Panel","0.00,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.01,0.01",70.0,,,yogaretreatinformational
us,luxury yoga retreat,yoga retreat,,,,,260,15,1.36,0.17,0,Informational,"Related Searches, AI Overview, Local Pack, Video","0.43,0.35,0.43,0.66,0.54,1.00,0.54,0.81,1.00,0.43,0.81,0.66",90.0,,,yogaretreatinformational
us,yoga certification retreats,yoga retreat,,,,,260,25,1.63,0.78,1580000,"Informational, Commercial","Local Pack, Site Links, Video, People Also Ask, Related Searches, AI Overview","0.09,0.14,0.11,0.39,1.00,0.26,0.17,0.14,0.14,0.09,0.21,0.11",20.0,,,yogaretreatinformational
us,yoga retreat india,yoga retreat,,,,,260,30,0.74,0.21,12600000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.54,0.54,0.66,0.28,0.54,0.23,0.35,0.28,0.66,0.44,0.81,0.08",20.0,,,yogaretreatinformational
us,yoga and meditation retreats for beginners,yoga retreat,,,,,210,13,0.86,0.3,8090000,Informational,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Local Pack, Site Links, Video","0.05,0.15,0.29,0.44,0.23,0.15,0.29,0.36,1.00,0.36,0.36,0.36",20.0,,,yogaretreatinformational
us,yoga certification retreat,yoga retreat,,,,,210,21,1.63,0.78,138,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","0.11,0.09,0.11,0.39,1.00,0.17,0.14,0.09,0.07,0.11,0.11,0.11",20.0,,,yogaretreatinformational
us,200 hour yoga teacher training retreats,yoga retreat,,,,,170,13,1.55,0.28,0,Informational,"Video, Related Searches, Discussions And Forums, AI Overview, Site Links","0.80,0.80,1.00,0.80,0.80,1.00,0.65,1.00,0.34,0.34,0.26,0.26",20.0,,,yogaretreatinformational
us,deadly yoga retreat cast,yoga retreat,,,,,170,27,0.0,0.0,309000,Informational,"Video, Image, People Also Ask, Related Searches, Knowledge Panel","0.02,0.13,0.01,0.01,0.01,0.07,0.01,0.07,0.02,0.08,0.01,0.01",70.0,,,yogaretreatinformational
us,arhatic yoga retreat 2025,yoga retreat,,,,,140,0,0.0,0.03,10800,Informational,"Video, Image, Video Carousel, Related Searches, AI Overview","0.32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00",,,,yogaretreatinformational
us,couples retreat yoga,yoga retreat,,,,,140,15,1.36,0.02,104,"Informational, Transactional","Video, Image, People Also Ask, Related Searches, Short Videos, Image Pack","0.19,0.19,0.12,0.15,0.19,0.19,0.23,0.15,0.19,0.19,0.15,0.15",90.0,,,yogaretreatinformational
us,couples retreat yoga teacher,yoga retreat,,,,,140,21,0.0,0.0,1720000,"Informational, Transactional","Image Pack, Video, Image, Related Searches, Discussions And Forums","0.28,0.53,1.00,0.21,0.43,0.43,0.43,0.34,0.34,0.43,0.53,0.43",90.0,,,yogaretreatinformational
us,yoga and sailing retreat,yoga retreat,,,,,140,3,0.0,0.36,172,"Informational, Commercial","Video, Image, People Also Ask","0.11,0.11,0.02,0.02,1.00,0.03,0.11,0.05,0.02,0.02,0.02,0.02",90.0,,,yogaretreatinformational
us,yoga and surf retreat bali,yoga retreat,,,,,140,23,1.64,0.59,1250000,"Informational, Transactional","Hotels Pack, People Also Ask, Related Searches, Short Videos, Discussions And Forums, Site Links, Video, Image","0.04,0.05,0.07,0.48,1.00,0.04,0.03,0.02,0.02,0.01,0.03,0.03",20.0,,,yogaretreatinformational
us,yoga and surf retreats bali,yoga retreat,,,,,140,28,1.64,0.59,563000,Informational,"AI Overview, Image Pack, Video, Image, Hotels Pack, Related Searches, Discussions And Forums","0.05,0.03,0.02,0.48,1.00,0.04,0.03,0.01,0.03,0.01,0.01,0.01",90.0,,,yogaretreatinformational
us,yoga and writing retreat,yoga retreat,,,,,140,7,0.83,0.26,6240000,"Informational, Commercial","Image, Related Searches, Discussions And Forums, Video","0.02,0.02,0.03,0.44,1.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02",90.0,,,yogaretreatinformational
us,yoga massachusetts retreat,yoga retreat,,,,,140,18,0.88,0.33,1710000,Informational,"Image, Related Searches, Knowledge Panel, Site Links, Video","0.10,0.22,0.43,0.35,0.29,0.22,0.22,0.29,0.22,0.43,0.29,0.22",20.0,,,yogaretreatinformational
us,yoga scene couples retreat,yoga retreat,,,,,140,24,0.0,0.0,2870000,"Informational, Transactional","Related Searches, Short Videos, Image Pack, Video, Image","0.23,0.23,0.23,0.23,0.06,0.15,0.15,0.23,0.09,0.09,0.09,0.12",90.0,,,yogaretreatinformational
us,balancé surf & yoga retreat,yoga retreat,,,,,110,28,1.94,0.03,1420000,"Informational, Navigational","Knowledge Panel, Site Links, Video, Related Searches, Short Videos","0.34,0.28,0.34,0.21,0.34,0.28,0.28,0.43,0.34,0.34,0.43,0.34",20.0,,,yogaretreatinformational
us,yoga and surfing retreat bali,yoga retreat,,,,,110,18,1.64,0.59,982000,"Informational, Transactional","Discussions And Forums, Site Links, Video, Image, Adwords Bottom, Hotels Pack, Related Searches","0.00,0.00,0.00,0.39,1.00,0.02,0.04,0.00,0.00,0.00,0.00,0.00",20.0,,,yogaretreatinformational
us,yoga couples retreat,yoga retreat,,,,,110,16,0.76,0.28,13900000,"Informational, Transactional","Local Pack, Image Pack, Video, Video Carousel, Related Searches, Discussions And Forums","0.03,0.03,0.04,0.05,1.00,0.07,0.03,0.04,0.05,0.05,0.05,0.04",90.0,,,yogaretreatinformational
us,yoga meditation retreat bali,yoga retreat,,,,,110,24,1.05,0.43,0,"Informational, Transactional","Site Links, Video, Hotels Pack, Related Searches, Discussions And Forums","0.23,0.33,0.52,1.00,1.00,0.19,0.23,0.52,0.52,0.80,0.52,0.80",20.0,,,yogaretreatinformational
